------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 05:51AM on August 19, 2022
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.973244410589292e+24 34216026218.044174 26623910437.00864 9.818634933837371
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.208751859010017 6.152341551250569 1.88993805916064 -0.25281039086602725 -2.6824947170971263 8.041777290864731
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
   1864   -0.2198007278   -0.1401557904 -1841.2267930969   -6.2054512466    1.8898024313   -2.6781804589
   1865   -0.2193731448   -0.1399108969 -1842.2683817754   -6.2054530164    1.8898025040   -2.6781827722
   1866   -0.2189463448   -0.1396663781 -1843.3099010469   -6.2054547842    1.8898025766   -2.6781850830
   1867   -0.2185203265   -0.1394222335 -1844.3513510074   -6.2054565502    1.8898026492   -2.6781873913
   1868   -0.2180950888   -0.1391784627 -1845.3927317528   -6.2054583143    1.8898027217   -2.6781896971
   1869   -0.2176706302   -0.1389350653 -1846.4340433785   -6.2054600765    1.8898027941   -2.6781920005
   1870   -0.2172469497   -0.1386920409 -1847.4752859802   -6.2054618368    1.8898028664   -2.6781943014
   1871   -0.2168240459   -0.1384493891 -1848.5164596538   -6.2054635952    1.8898029387   -2.6781965999
   1872   -0.2164019175   -0.1382071096 -1849.5575644944   -6.2054653518    1.8898030109   -2.6781988959
   1873   -0.2159805632   -0.1379652018 -1850.5986005975   -6.2054671064    1.8898030830   -2.6782011894
   1874   -0.2155599820   -0.1377236655 -1851.6395680587   -6.2054688592    1.8898031550   -2.6782034805
   1875   -0.2151401724   -0.1374825002 -1852.6804669733   -6.2054706102    1.8898032270   -2.6782057692
   1876   -0.2147211332   -0.1372417055 -1853.7212974362   -6.2054723592    1.8898032988   -2.6782080554
   1877   -0.2143028632   -0.1370012811 -1854.7620595430   -6.2054741065    1.8898033706   -2.6782103392
   1878   -0.2138853611   -0.1367612264 -1855.8027533887   -6.2054758518    1.8898034423   -2.6782126206
   1879   -0.2134686257   -0.1365215412 -1856.8433790680   -6.2054775953    1.8898035140   -2.6782148995
   1880   -0.2130526558   -0.1362822250 -1857.8839366763   -6.2054793369    1.8898035855   -2.6782171760
   1881   -0.2126374499   -0.1360432774 -1858.9244263084   -6.2054810767    1.8898036570   -2.6782194501
