------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 05:51AM on August 19, 2022
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.973244410589292e+24 34216026218.044174 26623910437.00864 9.818634933837371
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.208751859010017 6.152341551250569 1.88993805916064 -0.25281039086602725 -2.6824947170971263 8.041777290864731
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
   1775   -0.2819225965   -0.1849083450 -1746.2985431233   -6.2052857511    1.8897956308   -2.6779641383
   1776   -0.2813933956   -0.1846057628 -1747.3490566197   -6.2052877027    1.8897957110   -2.6779666893
   1777   -0.2808651184   -0.1843035949 -1748.3994903102   -6.2052896522    1.8897957911   -2.6779692375
   1778   -0.2803377637   -0.1840018412 -1749.4498442932   -6.2052915994    1.8897958711   -2.6779717827
   1779   -0.2798113301   -0.1837005013 -1750.5001186672   -6.2052935445    1.8897959510   -2.6779743251
   1780   -0.2792858162   -0.1833995749 -1751.5503135298   -6.2052954874    1.8897960309   -2.6779768647
   1781   -0.2787612206   -0.1830990617 -1752.6004289796   -6.2052974280    1.8897961106   -2.6779794014
   1782   -0.2782375419   -0.1827989614 -1753.6504651143   -6.2052993666    1.8897961903   -2.6779819352
   1783   -0.2777147789   -0.1824992737 -1754.7004220322   -6.2053013029    1.8897962698   -2.6779844662
   1784   -0.2771929300   -0.1821999983 -1755.7502998314   -6.2053032371    1.8897963493   -2.6779869944
   1785   -0.2766719941   -0.1819011349 -1756.8000986097   -6.2053051691    1.8897964287   -2.6779895197
   1786   -0.2761519697   -0.1816026832 -1757.8498184652   -6.2053070989    1.8897965080   -2.6779920422
   1787   -0.2756328554   -0.1813046428 -1758.8994594958   -6.2053090266    1.8897965872   -2.6779945619
   1788   -0.2751146498   -0.1810070135 -1759.9490217996   -6.2053109521    1.8897966663   -2.6779970788
   1789   -0.2745973517   -0.1807097950 -1760.9985054742   -6.2053128755    1.8897967454   -2.6779995928
   1790   -0.2740809597   -0.1804129869 -1762.0479106177   -6.2053147967    1.8897968243   -2.6780021041
   1791   -0.2735654724   -0.1801165889 -1763.0972373277   -6.2053167158    1.8897969032   -2.6780046125
   1792   -0.2730508884   -0.1798206008 -1764.1464857020   -6.2053186327    1.8897969819   -2.6780071182
   1793   -0.2725372065   -0.1795250221 -1765.1956558389   -6.2053205475    1.8897970606   -2.6780096210
   1794   -0.2720244252   -0.1792298527 -1766.2447478355   -6.2053224602    1.8897971392   -2.6780121211
   1795   -0.2715125432   -0.1789350921 -1767.2937617896   -6.2053243707    1.8897972177   -2.6780146183
   1796   -0.2710015591   -0.1786407400 -1768.3426977993   -6.2053262791    1.8897972961   -2.6780171128
   1797   -0.2704914716   -0.1783467963 -1769.3915559618   -6.2053281854    1.8897973745   -2.6780196045
   1798   -0.2699822794   -0.1780532604 -1770.4403363751   -6.2053300895    1.8897974527   -2.6780220935
   1799   -0.2694739810   -0.1777601322 -1771.4890391364   -6.2053319916    1.8897975309   -2.6780245796
   1800   -0.2689665752   -0.1774674112 -1772.5376643432   -6.2053338915    1.8897976089   -2.6780270630
   1801   -0.2684600607   -0.1771750972 -1773.5862120935   -6.2053357893    1.8897976869   -2.6780295437
   1802   -0.2679544359   -0.1768831899 -1774.6346824844   -6.2053376850    1.8897977648   -2.6780320216
   1803   -0.2674496997   -0.1765916889 -1775.6830756134   -6.2053395786    1.8897978426   -2.6780344967
   1804   -0.2669458507   -0.1763005939 -1776.7313915777   -6.2053414701    1.8897979204   -2.6780369692
   1805   -0.2664428875   -0.1760099046 -1777.7796304752   -6.2053433595    1.8897979980   -2.6780394388
   1806   -0.2659408088   -0.1757196207 -1778.8277924028   -6.2053452469    1.8897980756   -2.6780419058
   1807   -0.2654396133   -0.1754297418 -1779.8758774577   -6.2053471321    1.8897981530   -2.6780443700
   1808   -0.2649392996   -0.1751402676 -1780.9238857377   -6.2053490152    1.8897982304   -2.6780468314
   1809   -0.2644398664   -0.1748511978 -1781.9718173395   -6.2053508963    1.8897983077   -2.6780492902
   1810   -0.2639413123   -0.1745625321 -1783.0196723605   -6.2053527753    1.8897983849   -2.6780517462
   1811   -0.2634436361   -0.1742742701 -1784.0674508978   -6.2053546522    1.8897984620   -2.6780541995
   1812   -0.2629468363   -0.1739864115 -1785.1151530485   -6.2053565270    1.8897985391   -2.6780566502
   1813   -0.2624509117   -0.1736989560 -1786.1627789098   -6.2053583998    1.8897986160   -2.6780590981
   1814   -0.2619558609   -0.1734119033 -1787.2103285786   -6.2053602705    1.8897986929   -2.6780615433
   1815   -0.2614616826   -0.1731252530 -1788.2578021517   -6.2053621391    1.8897987697   -2.6780639858
   1816   -0.2609683755   -0.1728390048 -1789.3051997264   -6.2053640057    1.8897988464   -2.6780664256
   1817   -0.2604759383   -0.1725531584 -1790.3525213997   -6.2053658703    1.8897989230   -2.6780688628
   1818   -0.2599843695   -0.1722677134 -1791.3997672680   -6.2053677327    1.8897989995   -2.6780712972
   1819   -0.2594936680   -0.1719826695 -1792.4469374283   -6.2053695932    1.8897990760   -2.6780737290
   1820   -0.2590038323   -0.1716980264 -1793.4940319778   -6.2053714516    1.8897991524   -2.6780761581
   1821   -0.2585148612   -0.1714137837 -1794.5410510126   -6.2053733079    1.8897992286   -2.6780785846
   1822   -0.2580267533   -0.1711299412 -1795.5879946298   -6.2053751622    1.8897993048   -2.6780810084
   1823   -0.2575395073   -0.1708464984 -1796.6348629261   -6.2053770145    1.8897993809   -2.6780834295
   1824   -0.2570531219   -0.1705634550 -1797.6816559980   -6.2053788647    1.8897994570   -2.6780858480
   1825   -0.2565675958   -0.1702808108 -1798.7283739420   -6.2053807130    1.8897995329   -2.6780882638
   1826   -0.2560829277   -0.1699985653 -1799.7750168548   -6.2053825591    1.8897996088   -2.6780906770
   1827   -0.2555991162   -0.1697167183 -1800.8215848329   -6.2053844033    1.8897996846   -2.6780930875
   1828   -0.2357260169   -0.1492247740 -1803.6825619340   -6.2053862455    1.8897997603   -2.6780954954
   1829   -0.2352693893   -0.1489661323 -1804.7267136235   -6.2053880856    1.8897998359   -2.6780979006
   1830   -0.2348135912   -0.1487078793 -1805.7707924146   -6.2053899237    1.8897999114   -2.6781003033
   1831   -0.2343586214   -0.1484500146 -1806.8147984046   -6.2053917599    1.8897999869   -2.6781027033
   1832   -0.2339044786   -0.1481925379 -1807.8587316923   -6.2053935940    1.8898000622   -2.6781051007
   1833   -0.2334511613   -0.1479354487 -1808.9025923748   -6.2053954261    1.8898001375   -2.6781074954
   1834   -0.2329986684   -0.1476787468 -1809.9463805505   -6.2053972562    1.8898002127   -2.6781098876
   1835   -0.2325469985   -0.1474224316 -1810.9900963170   -6.2053990843    1.8898002878   -2.6781122772
   1836   -0.2320961502   -0.1471665028 -1812.0337397721   -6.2054009105    1.8898003629   -2.6781146641
   1837   -0.2316461223   -0.1469109601 -1813.0773110135   -6.2054027346    1.8898004378   -2.6781170485
   1838   -0.2311969135   -0.1466558029 -1814.1208101390   -6.2054045568    1.8898005127   -2.6781194302
   1839   -0.2307485225   -0.1464010310 -1815.1642372458   -6.2054063769    1.8898005875   -2.6781218094
   1840   -0.2303009479   -0.1461466440 -1816.2075924318   -6.2054081951    1.8898006622   -2.6781241860
   1841   -0.2298541885   -0.1458926414 -1817.2508757943   -6.2054100113    1.8898007368   -2.6781265600
   1842   -0.2294082429   -0.1456390229 -1818.2940874305   -6.2054118256    1.8898008114   -2.6781289314
   1843   -0.2289631099   -0.1453857880 -1819.3372274378   -6.2054136379    1.8898008859   -2.6781313002
   1844   -0.2285187881   -0.1451329365 -1820.3802959141   -6.2054154482    1.8898009603   -2.6781336665
   1845   -0.2280752763   -0.1448804678 -1821.4232929557   -6.2054172565    1.8898010346   -2.6781360302
   1846   -0.2276325731   -0.1446283816 -1822.4662186603   -6.2054190629    1.8898011088   -2.6781383914
   1847   -0.2271906773   -0.1443766776 -1823.5090731251   -6.2054208674    1.8898011829   -2.6781407500
   1848   -0.2267495876   -0.1441253553 -1824.5518564467   -6.2054226699    1.8898012570   -2.6781431060
   1849   -0.2263093027   -0.1438744143 -1825.5945687224   -6.2054244704    1.8898013310   -2.6781454595
   1850   -0.2258698212   -0.1436238542 -1826.6372100491   -6.2054262690    1.8898014049   -2.6781478105
   1851   -0.2254311420   -0.1433736747 -1827.6797805236   -6.2054280656    1.8898014787   -2.6781501589
   1852   -0.2249932636   -0.1431238753 -1828.7222802426   -6.2054298603    1.8898015525   -2.6781525047
   1853   -0.2245561849   -0.1428744556 -1829.7647093030   -6.2054316531    1.8898016261   -2.6781548481
   1854   -0.2241199046   -0.1426254153 -1830.8070678013   -6.2054334439    1.8898016997   -2.6781571889
   1855   -0.2236844212   -0.1423767540 -1831.8493558342   -6.2054352328    1.8898017732   -2.6781595272
   1856   -0.2232497337   -0.1421284713 -1832.8915734983   -6.2054370198    1.8898018467   -2.6781618630
   1857   -0.2228158407   -0.1418805667 -1833.9337208899   -6.2054388049    1.8898019200   -2.6781641962
   1858   -0.2223827408   -0.1416330399 -1834.9757981058   -6.2054405880    1.8898019933   -2.6781665270
   1859   -0.2219504329   -0.1413858905 -1836.0178052419   -6.2054423692    1.8898020665   -2.6781688552
   1860   -0.2215189157   -0.1411391181 -1837.0597423947   -6.2054441485    1.8898021396   -2.6781711809
   1861   -0.2210881878   -0.1408927223 -1838.1016096605   -6.2054459259    1.8898022126   -2.6781735042
   1862   -0.2206582481   -0.1406467026 -1839.1434071355   -6.2054477014    1.8898022856   -2.6781758249
   1863   -0.2202290952   -0.1404010588 -1840.1851349155   -6.2054494749    1.8898023585   -2.6781781431
